,portfolio_value
2021-01-01 00:00:00+00:00,10000.0
2021-01-02 00:00:00+00:00,10925.464023889774
2021-01-03 00:00:00+00:00,10915.265790528994
2021-01-04 00:00:00+00:00,10915.265790528994
2021-01-05 00:00:00+00:00,11591.60937745638
2021-01-06 00:00:00+00:00,12557.314633109745
2021-01-07 00:00:00+00:00,13425.746705144245
2021-01-08 00:00:00+00:00,13912.21385928041
2021-01-09 00:00:00+00:00,13727.02649769973
2021-01-10 00:00:00+00:00,13713.187690627205
2021-01-11 00:00:00+00:00,13713.187690627205
2021-01-12 00:00:00+00:00,13713.187690627205
2021-01-13 00:00:00+00:00,15073.350685881502
2021-01-14 00:00:00+00:00,15829.098796453325
2021-01-15 00:00:00+00:00,14875.022190010766
2021-01-16 00:00:00+00:00,14613.585299778757
2021-01-17 00:00:00+00:00,14457.318021742016
2021-01-18 00:00:00+00:00,14443.248471005698
2021-01-19 00:00:00+00:00,14443.248471005698
2021-01-20 00:00:00+00:00,14227.737839484897
2021-01-21 00:00:00+00:00,12337.770103682775
2021-01-22 00:00:00+00:00,12322.203915753322
2021-01-23 00:00:00+00:00,12322.203915753322
2021-01-24 00:00:00+00:00,12322.203915753322
2021-01-25 00:00:00+00:00,12322.203915753322
2021-01-26 00:00:00+00:00,12322.203915753322
2021-01-27 00:00:00+00:00,12322.203915753322
2021-01-28 00:00:00+00:00,12322.203915753322
2021-01-29 00:00:00+00:00,12322.203915753322
2021-01-30 00:00:00+00:00,12322.203915753322
2021-01-31 00:00:00+00:00,12322.203915753322
2021-02-01 00:00:00+00:00,12322.203915753322
2021-02-02 00:00:00+00:00,12322.203915753322
2021-02-03 00:00:00+00:00,12989.75887947991
2021-02-04 00:00:00+00:00,12800.478996098846
2021-02-05 00:00:00+00:00,12789.576430401363
2021-02-06 00:00:00+00:00,12789.576430401363
2021-02-07 00:00:00+00:00,12663.912223736446
2021-02-08 00:00:00+00:00,15037.949206575577
2021-02-09 00:00:00+00:00,15130.605890920484
2021-02-10 00:00:00+00:00,15111.786341510786
2021-02-11 00:00:00+00:00,16108.961231384534
2021-02-12 00:00:00+00:00,15972.959331260025
2021-02-13 00:00:00+00:00,15838.68722053032
2021-02-14 00:00:00+00:00,16380.62747971672
2021-02-15 00:00:00+00:00,16120.973876642616
2021-02-16 00:00:00+00:00,16542.890130911655
2021-02-17 00:00:00+00:00,17534.503394010553
2021-02-18 00:00:00+00:00,17376.736619124214
2021-02-19 00:00:00+00:00,18791.741120159855
2021-02-20 00:00:00+00:00,18772.681706936808
2021-02-21 00:00:00+00:00,19246.05833308838
2021-02-22 00:00:00+00:00,18131.35628038457
2021-02-23 00:00:00+00:00,18112.426103426747
2021-02-24 00:00:00+00:00,18112.426103426747
2021-02-25 00:00:00+00:00,17142.358853246962
2021-02-26 00:00:00+00:00,16867.866997510853
2021-02-27 00:00:00+00:00,16812.790036812483
2021-02-28 00:00:00+00:00,16430.336816111725
2021-03-01 00:00:00+00:00,16421.809971256793
2021-03-02 00:00:00+00:00,16421.809971256793
2021-03-03 00:00:00+00:00,17124.558493822387
2021-03-04 00:00:00+00:00,16454.63960388548
2021-03-05 00:00:00+00:00,16426.629523579522
2021-03-06 00:00:00+00:00,16426.629523579522
2021-03-07 00:00:00+00:00,17177.736620814707
2021-03-08 00:00:00+00:00,17149.64250229897
2021-03-09 00:00:00+00:00,17149.64250229897
2021-03-10 00:00:00+00:00,17149.64250229897
2021-03-11 00:00:00+00:00,17696.382334393315
2021-03-12 00:00:00+00:00,17683.60913886354
2021-03-13 00:00:00+00:00,17683.60913886354
2021-03-14 00:00:00+00:00,17683.60913886354
2021-03-15 00:00:00+00:00,16664.336941580295
2021-03-16 00:00:00+00:00,16931.916565627937
2021-03-17 00:00:00+00:00,17547.729741967953
2021-03-18 00:00:00+00:00,17246.08963917131
2021-03-19 00:00:00+00:00,17391.46814107271
2021-03-20 00:00:00+00:00,17381.62945630776
2021-03-21 00:00:00+00:00,17146.086685669303
2021-03-22 00:00:00+00:00,16253.578256521318
2021-03-23 00:00:00+00:00,16316.11386836045
2021-03-24 00:00:00+00:00,15730.499050371169
2021-03-25 00:00:00+00:00,15411.531218974294
2021-03-26 00:00:00+00:00,16434.85573223016
2021-03-27 00:00:00+00:00,16684.10280105601
2021-03-28 00:00:00+00:00,16677.317019421676
2021-03-29 00:00:00+00:00,17213.68252519938
2021-03-30 00:00:00+00:00,17561.678551847726
2021-03-31 00:00:00+00:00,17547.86462975391
2021-04-01 00:00:00+00:00,17580.666514181677
2021-04-02 00:00:00+00:00,17666.494783301197
2021-04-03 00:00:00+00:00,17136.8294147451
2021-04-04 00:00:00+00:00,17480.335397686667
2021-04-05 00:00:00+00:00,17569.382648154755
2021-04-06 00:00:00+00:00,17585.70995489217
2021-04-07 00:00:00+00:00,17585.70995489217
2021-04-08 00:00:00+00:00,18264.59936844752
2021-04-09 00:00:00+00:00,18239.875806794727
2021-04-10 00:00:00+00:00,18724.7162150081
2021-04-11 00:00:00+00:00,18853.65281235061
2021-04-12 00:00:00+00:00,18825.720555402935
2021-04-13 00:00:00+00:00,18825.720555402935
2021-04-14 00:00:00+00:00,18825.720555402935
2021-04-15 00:00:00+00:00,18878.101828578234
2021-04-16 00:00:00+00:00,18358.927988245185
2021-04-17 00:00:00+00:00,18093.867504327784
2021-04-18 00:00:00+00:00,16761.768990584722
2021-04-19 00:00:00+00:00,16615.09565156742
2021-04-20 00:00:00+00:00,16838.35229461951
2021-04-21 00:00:00+00:00,16820.947294825983
2021-04-22 00:00:00+00:00,16820.947294825983
2021-04-23 00:00:00+00:00,16594.266830065553
2021-04-24 00:00:00+00:00,16255.589629758482
2021-04-25 00:00:00+00:00,16239.971546645313
2021-04-26 00:00:00+00:00,16239.971546645313
2021-04-27 00:00:00+00:00,16239.971546645313
