,portfolio_value
2023-01-01 00:00:00+00:00,10000.0
2023-01-02 00:00:00+00:00,10027.832209327229
2023-01-03 00:00:00+00:00,10022.656627892402
2023-01-04 00:00:00+00:00,10132.847221202452
2023-01-05 00:00:00+00:00,10116.922626080193
2023-01-06 00:00:00+00:00,10186.163925189794
2023-01-07 00:00:00+00:00,10188.032298351754
2023-01-08 00:00:00+00:00,10269.79240180723
2023-01-09 00:00:00+00:00,10333.131660319157
2023-01-10 00:00:00+00:00,10483.195355499556
2023-01-11 00:00:00+00:00,10472.752022683515
2023-01-12 00:00:00+00:00,10472.752022683515
2023-01-13 00:00:00+00:00,10472.752022683515
2023-01-14 00:00:00+00:00,10472.752022683515
2023-01-15 00:00:00+00:00,10472.752022683515
2023-01-16 00:00:00+00:00,10472.752022683515
2023-01-17 00:00:00+00:00,10455.206972761676
2023-01-18 00:00:00+00:00,10221.642621812423
2023-01-19 00:00:00+00:00,10418.287049494977
2023-01-20 00:00:00+00:00,11203.734775119465
2023-01-21 00:00:00+00:00,11253.671239027683
2023-01-22 00:00:00+00:00,11225.406171792845
2023-01-23 00:00:00+00:00,11331.14421444501
2023-01-24 00:00:00+00:00,11183.930604047784
2023-01-25 00:00:00+00:00,11421.769791904291
2023-01-26 00:00:00+00:00,11379.733573991485
2023-01-27 00:00:00+00:00,11402.43652837454
2023-01-28 00:00:00+00:00,11378.8998360484
2023-01-29 00:00:00+00:00,11746.227018241338
2023-01-30 00:00:00+00:00,11284.557176926199
2023-01-31 00:00:00+00:00,11432.354596878478
2023-02-01 00:00:00+00:00,11420.207911244552
2023-02-02 00:00:00+00:00,11420.207911244552
2023-02-03 00:00:00+00:00,11420.207911244552
2023-02-04 00:00:00+00:00,11420.207911244552
2023-02-05 00:00:00+00:00,11224.650090927087
2023-02-06 00:00:00+00:00,11129.028606345515
2023-02-07 00:00:00+00:00,11375.55870024186
2023-02-08 00:00:00+00:00,11216.695720439397
2023-02-09 00:00:00+00:00,10668.872714480649
2023-02-10 00:00:00+00:00,10586.796293727497
2023-02-11 00:00:00+00:00,10576.531017692083
2023-02-12 00:00:00+00:00,10576.531017692083
2023-02-13 00:00:00+00:00,10576.188027270742
2023-02-14 00:00:00+00:00,10776.335015624269
2023-02-15 00:00:00+00:00,10765.452700380003
2023-02-16 00:00:00+00:00,10452.109555759223
2023-02-17 00:00:00+00:00,10868.949766283897
2023-02-18 00:00:00+00:00,10857.946143589275
2023-02-19 00:00:00+00:00,10857.946143589275
2023-02-20 00:00:00+00:00,11066.61193092755
2023-02-21 00:00:00+00:00,10891.539113598688
2023-02-22 00:00:00+00:00,10881.121537971714
2023-02-23 00:00:00+00:00,10760.945143425877
2023-02-24 00:00:00+00:00,10424.213509217056
2023-02-25 00:00:00+00:00,10413.989786517119
2023-02-26 00:00:00+00:00,10587.368290736362
2023-02-27 00:00:00+00:00,10570.139180913848
2023-02-28 00:00:00+00:00,10401.39816924731
2023-03-01 00:00:00+00:00,10392.602137772827
2023-03-02 00:00:00+00:00,10306.88941200008
2023-03-03 00:00:00+00:00,9818.32090877636
2023-03-04 00:00:00+00:00,9814.224543653068
2023-03-05 00:00:00+00:00,9804.758980064948
2023-03-06 00:00:00+00:00,9791.87274101237
2023-03-07 00:00:00+00:00,9700.200840482172
2023-03-08 00:00:00+00:00,9689.049175557153
2023-03-09 00:00:00+00:00,9689.049175557153
2023-03-10 00:00:00+00:00,9593.930733939715
2023-03-11 00:00:00+00:00,9584.637244815885
2023-03-12 00:00:00+00:00,9584.637244815885
2023-03-13 00:00:00+00:00,9584.637244815885
2023-03-14 00:00:00+00:00,9790.399847134682
2023-03-15 00:00:00+00:00,9790.431749799805
2023-03-16 00:00:00+00:00,10053.24536125158
2023-03-17 00:00:00+00:00,11004.74255502461
2023-03-18 00:00:00+00:00,10820.934800912633
2023-03-19 00:00:00+00:00,10811.567060457837
2023-03-20 00:00:00+00:00,10695.07851179673
2023-03-21 00:00:00+00:00,10852.45088988525
2023-03-22 00:00:00+00:00,10517.978259243038
2023-03-23 00:00:00+00:00,10913.367773758493
2023-03-24 00:00:00+00:00,10589.561014233093
2023-03-25 00:00:00+00:00,10590.10867639793
2023-03-26 00:00:00+00:00,10782.547983266179
2023-03-27 00:00:00+00:00,10453.443645492465
2023-03-28 00:00:00+00:00,10502.838559974747
2023-03-29 00:00:00+00:00,10491.912609512296
2023-03-30 00:00:00+00:00,10491.912609512296
2023-03-31 00:00:00+00:00,10491.912609512296
2023-04-01 00:00:00+00:00,10491.912609512296
2023-04-02 00:00:00+00:00,10491.912609512296
2023-04-03 00:00:00+00:00,10491.912609512296
2023-04-04 00:00:00+00:00,10622.007390730436
2023-04-05 00:00:00+00:00,10625.73855548631
2023-04-06 00:00:00+00:00,10575.266929274194
2023-04-07 00:00:00+00:00,10530.663822757064
2023-04-08 00:00:00+00:00,10538.935577864295
2023-04-09 00:00:00+00:00,10684.213110288505
2023-04-10 00:00:00+00:00,11181.950194117793
2023-04-11 00:00:00+00:00,11401.448150139273
2023-04-12 00:00:00+00:00,11365.244951644401
2023-04-13 00:00:00+00:00,11463.294452326465
2023-04-14 00:00:00+00:00,11495.963134504036
2023-04-15 00:00:00+00:00,11432.911900311197
2023-04-16 00:00:00+00:00,11431.727590613715
2023-04-17 00:00:00+00:00,11103.53902289697
2023-04-18 00:00:00+00:00,11462.723656296894
2023-04-19 00:00:00+00:00,11449.993193185901
2023-04-20 00:00:00+00:00,11449.993193185901
2023-04-21 00:00:00+00:00,11044.835912600762
2023-04-22 00:00:00+00:00,11263.728964857604
2023-04-23 00:00:00+00:00,11172.171466346766
2023-04-24 00:00:00+00:00,11145.428872673532
2023-04-25 00:00:00+00:00,11462.176962208623
2023-04-26 00:00:00+00:00,11447.665156822131
2023-04-27 00:00:00+00:00,11447.665156822131
2023-04-28 00:00:00+00:00,11447.665156822131
2023-04-29 00:00:00+00:00,11447.665156822131
2023-04-30 00:00:00+00:00,11447.665156822131
2023-05-01 00:00:00+00:00,11447.665156822131
2023-05-02 00:00:00+00:00,11447.665156822131
2023-05-03 00:00:00+00:00,11447.665156822131
2023-05-04 00:00:00+00:00,11363.894939244354
2023-05-05 00:00:00+00:00,11634.394364909269
2023-05-06 00:00:00+00:00,11386.314161105995
2023-05-07 00:00:00+00:00,11209.18699756081
2023-05-08 00:00:00+00:00,11196.19845649787
2023-05-09 00:00:00+00:00,11196.19845649787
2023-05-10 00:00:00+00:00,11196.19845649787
2023-05-11 00:00:00+00:00,11196.19845649787
2023-05-12 00:00:00+00:00,11109.294131636236
2023-05-13 00:00:00+00:00,11100.627134486507
2023-05-14 00:00:00+00:00,11161.368966850237
2023-05-15 00:00:00+00:00,11269.977198994942
2023-05-16 00:00:00+00:00,11205.305388937933
2023-05-17 00:00:00+00:00,11193.611652484069
2023-05-18 00:00:00+00:00,11193.611652484069
2023-05-19 00:00:00+00:00,11208.835167026364
2023-05-20 00:00:00+00:00,11308.650024821369
2023-05-21 00:00:00+00:00,11152.018969240518
2023-05-22 00:00:00+00:00,11192.640348416078
2023-05-23 00:00:00+00:00,11348.725117887563
2023-05-24 00:00:00+00:00,11336.90873196733
2023-05-25 00:00:00+00:00,11336.90873196733
2023-05-26 00:00:00+00:00,11336.90873196733
2023-05-27 00:00:00+00:00,11336.90873196733
2023-05-28 00:00:00+00:00,11336.90873196733
2023-05-29 00:00:00+00:00,11336.90873196733
2023-05-30 00:00:00+00:00,11336.90873196733
2023-05-31 00:00:00+00:00,11336.90873196733
2023-06-01 00:00:00+00:00,11336.90873196733
2023-06-02 00:00:00+00:00,11336.90873196733
2023-06-03 00:00:00+00:00,11336.90873196733
2023-06-04 00:00:00+00:00,11336.90873196733
2023-06-05 00:00:00+00:00,10756.430324626685
2023-06-06 00:00:00+00:00,11373.872784249288
2023-06-07 00:00:00+00:00,11361.192077075424
2023-06-08 00:00:00+00:00,11361.192077075424
2023-06-09 00:00:00+00:00,11338.890882287675
2023-06-10 00:00:00+00:00,11069.495510897523
2023-06-11 00:00:00+00:00,11059.61993256495
2023-06-12 00:00:00+00:00,11035.019156060736
2023-06-13 00:00:00+00:00,11041.932850908583
2023-06-14 00:00:00+00:00,10703.649398162688
2023-06-15 00:00:00+00:00,10691.66813140598
2023-06-16 00:00:00+00:00,10995.10841147365
2023-06-17 00:00:00+00:00,11071.623402803052
2023-06-18 00:00:00+00:00,11060.460514442624
2023-06-19 00:00:00+00:00,11060.460514442624
2023-06-20 00:00:00+00:00,11661.041201233971
2023-06-21 00:00:00+00:00,11642.727237754869
2023-06-22 00:00:00+00:00,11642.727237754869
2023-06-23 00:00:00+00:00,11642.727237754869
2023-06-24 00:00:00+00:00,11642.727237754869
2023-06-25 00:00:00+00:00,11642.727237754869
2023-06-26 00:00:00+00:00,11551.182248436844
2023-06-27 00:00:00+00:00,11710.318243564505
2023-06-28 00:00:00+00:00,11480.63193987338
2023-06-29 00:00:00+00:00,11617.66324984365
2023-06-30 00:00:00+00:00,11629.836142479127
2023-07-01 00:00:00+00:00,11672.889561255452
2023-07-02 00:00:00+00:00,11684.60111668764
2023-07-03 00:00:00+00:00,11889.007781285958
2023-07-04 00:00:00+00:00,11744.439309543657
2023-07-05 00:00:00+00:00,11643.922205713718
2023-07-06 00:00:00+00:00,11413.12541343955
2023-07-07 00:00:00+00:00,11401.201527373223
2023-07-08 00:00:00+00:00,11401.201527373223
2023-07-09 00:00:00+00:00,11401.201527373223
2023-07-10 00:00:00+00:00,11401.201527373223
2023-07-11 00:00:00+00:00,11401.201527373223
2023-07-12 00:00:00+00:00,11401.201527373223
2023-07-13 00:00:00+00:00,11797.813227627867
2023-07-14 00:00:00+00:00,11369.777537586842
2023-07-15 00:00:00+00:00,11355.436328051763
2023-07-16 00:00:00+00:00,11337.942102208997
2023-07-17 00:00:00+00:00,11299.24426263606
2023-07-18 00:00:00+00:00,11190.799389002626
2023-07-19 00:00:00+00:00,11212.299490219357
2023-07-20 00:00:00+00:00,11166.606010099345
2023-07-21 00:00:00+00:00,11210.358046233292
2023-07-22 00:00:00+00:00,11159.029839732906
2023-07-23 00:00:00+00:00,11276.249278832775
2023-07-24 00:00:00+00:00,10936.055144346816
2023-07-25 00:00:00+00:00,10954.973974260805
2023-07-26 00:00:00+00:00,10943.408334893395
2023-07-27 00:00:00+00:00,10943.408334893395
2023-07-28 00:00:00+00:00,10972.539689537396
2023-07-29 00:00:00+00:00,10986.638146990737
2023-07-30 00:00:00+00:00,10975.71722806345
2023-07-31 00:00:00+00:00,10946.689419534649
2023-08-01 00:00:00+00:00,11113.574713172957
2023-08-02 00:00:00+00:00,11113.09157615909
2023-08-03 00:00:00+00:00,11113.09157615909
2023-08-04 00:00:00+00:00,11063.81388295891
2023-08-05 00:00:00+00:00,11051.650026405156
2023-08-06 00:00:00+00:00,11051.546716124027
2023-08-07 00:00:00+00:00,11104.336040063103
2023-08-08 00:00:00+00:00,11326.91841237717
2023-08-09 00:00:00+00:00,11316.048871619778
2023-08-10 00:00:00+00:00,11316.048871619778
2023-08-11 00:00:00+00:00,11294.287675980024
2023-08-12 00:00:00+00:00,11301.299130822083
2023-08-13 00:00:00+00:00,11290.23920912819
2023-08-14 00:00:00+00:00,11327.164063810356
2023-08-15 00:00:00+00:00,11235.457438633766
2023-08-16 00:00:00+00:00,11223.731985486216
2023-08-17 00:00:00+00:00,11223.731985486216
2023-08-18 00:00:00+00:00,11223.731985486216
2023-08-19 00:00:00+00:00,11223.731985486216
2023-08-20 00:00:00+00:00,11223.731985486216
2023-08-21 00:00:00+00:00,11223.731985486216
2023-08-22 00:00:00+00:00,11223.731985486216
2023-08-23 00:00:00+00:00,11223.731985486216
2023-08-24 00:00:00+00:00,11098.333691047465
2023-08-25 00:00:00+00:00,11087.78909275767
2023-08-26 00:00:00+00:00,11087.78909275767
2023-08-27 00:00:00+00:00,11087.78909275767
2023-08-28 00:00:00+00:00,11083.72152934265
2023-08-29 00:00:00+00:00,11772.041969890077
2023-08-30 00:00:00+00:00,11759.714902211128
2023-08-31 00:00:00+00:00,11759.714902211128
2023-09-01 00:00:00+00:00,11687.57250755168
2023-09-02 00:00:00+00:00,11718.409717730128
2023-09-03 00:00:00+00:00,11706.996242845531
2023-09-04 00:00:00+00:00,11706.996242845531
2023-09-05 00:00:00+00:00,11679.444239677732
2023-09-06 00:00:00+00:00,11669.55217274292
2023-09-07 00:00:00+00:00,11669.55217274292
2023-09-08 00:00:00+00:00,11669.55217274292
2023-09-09 00:00:00+00:00,11653.49583352378
2023-09-10 00:00:00+00:00,11624.941725974937
2023-09-11 00:00:00+00:00,11323.62280751519
2023-09-12 00:00:00+00:00,11625.444479369155
2023-09-13 00:00:00+00:00,11615.712133459041
2023-09-14 00:00:00+00:00,11615.712133459041
2023-09-15 00:00:00+00:00,11615.712133459041
2023-09-16 00:00:00+00:00,11615.712133459041
2023-09-17 00:00:00+00:00,11615.712133459041
2023-09-18 00:00:00+00:00,11700.875433161727
2023-09-19 00:00:00+00:00,11900.670761174106
2023-09-20 00:00:00+00:00,11888.381822061623
2023-09-21 00:00:00+00:00,11888.381822061623
2023-09-22 00:00:00+00:00,11883.428556681809
2023-09-23 00:00:00+00:00,11883.349093625118
2023-09-24 00:00:00+00:00,11739.134124374721
2023-09-25 00:00:00+00:00,11757.75729591386
2023-09-26 00:00:00+00:00,11721.440059344593
2023-09-27 00:00:00+00:00,11782.00575329044
2023-09-28 00:00:00+00:00,11771.606417821888
2023-09-29 00:00:00+00:00,11771.606417821888
2023-09-30 00:00:00+00:00,11771.606417821888
2023-10-01 00:00:00+00:00,12203.042202991342
2023-10-02 00:00:00+00:00,12005.51509869858
2023-10-03 00:00:00+00:00,11961.555740503603
2023-10-04 00:00:00+00:00,11949.200236927061
2023-10-05 00:00:00+00:00,11949.200236927061
2023-10-06 00:00:00+00:00,11949.200236927061
2023-10-07 00:00:00+00:00,11949.200236927061
2023-10-08 00:00:00+00:00,11949.200236927061
2023-10-09 00:00:00+00:00,11787.34568152743
2023-10-10 00:00:00+00:00,11705.01696305541
2023-10-11 00:00:00+00:00,11693.763029281461
2023-10-12 00:00:00+00:00,11631.42818473395
2023-10-13 00:00:00+00:00,11677.32312414996
2023-10-14 00:00:00+00:00,11677.032751949788
2023-10-15 00:00:00+00:00,11663.75093902672
2023-10-16 00:00:00+00:00,12234.136644943677
2023-10-17 00:00:00+00:00,12189.643900069435
2023-10-18 00:00:00+00:00,12176.504256806478
2023-10-19 00:00:00+00:00,12176.504256806478
2023-10-20 00:00:00+00:00,12176.504256806478
2023-10-21 00:00:00+00:00,12176.504256806478
2023-10-22 00:00:00+00:00,12176.504256806478
2023-10-23 00:00:00+00:00,13353.106995832879
2023-10-24 00:00:00+00:00,13682.146986340078
2023-10-25 00:00:00+00:00,13674.317269184465
2023-10-26 00:00:00+00:00,13523.008049625205
2023-10-27 00:00:00+00:00,13425.278237269407
2023-10-28 00:00:00+00:00,13496.452598737269
2023-10-29 00:00:00+00:00,13674.179720980688
2023-10-30 00:00:00+00:00,13659.880513077254
2023-10-31 00:00:00+00:00,13725.371380164288
2023-11-01 00:00:00+00:00,13707.490005713502
