,portfolio_value
2018-01-01 00:00:00+00:00,10000.0
2018-01-02 00:00:00+00:00,10985.040374139908
2018-01-03 00:00:00+00:00,11145.540550458716
2018-01-04 00:00:00+00:00,11437.505317517202
2018-01-05 00:00:00+00:00,12779.50128440367
2018-01-06 00:00:00+00:00,12850.989357798166
2018-01-07 00:00:00+00:00,12838.358684028095
2018-01-08 00:00:00+00:00,11808.816966483255
2018-01-09 00:00:00+00:00,11361.455508104586
2018-01-10 00:00:00+00:00,11655.622661077497
2018-01-11 00:00:00+00:00,10435.438148675004
2018-01-12 00:00:00+00:00,10882.877905875428
2018-01-13 00:00:00+00:00,10850.065942335985
2018-01-14 00:00:00+00:00,10387.56945184092
2018-01-15 00:00:00+00:00,10373.640292086977
2018-01-16 00:00:00+00:00,8606.407790080097
2018-01-17 00:00:00+00:00,8380.283785580446
2018-01-18 00:00:00+00:00,8594.723651039392
2018-01-19 00:00:00+00:00,8693.966419603477
2018-01-20 00:00:00+00:00,9661.527091661825
2018-01-21 00:00:00+00:00,8688.498119649283
2018-01-22 00:00:00+00:00,8187.641049419922
2018-01-23 00:00:00+00:00,8140.4539217253005
2018-01-24 00:00:00+00:00,8158.50232367409
2018-01-25 00:00:00+00:00,8158.50232367409
2018-01-26 00:00:00+00:00,8158.50232367409
2018-01-27 00:00:00+00:00,8158.50232367409
2018-01-28 00:00:00+00:00,8158.50232367409
2018-01-29 00:00:00+00:00,8158.50232367409
2018-01-30 00:00:00+00:00,8158.50232367409
2018-01-31 00:00:00+00:00,8158.50232367409
2018-02-01 00:00:00+00:00,8158.50232367409
2018-02-02 00:00:00+00:00,7872.614549950576
2018-02-03 00:00:00+00:00,8179.43336529548
2018-02-04 00:00:00+00:00,7378.955073005393
2018-02-05 00:00:00+00:00,6200.623950921127
2018-02-06 00:00:00+00:00,6912.691812169608
2018-02-07 00:00:00+00:00,6794.389574149228
2018-02-08 00:00:00+00:00,7368.774211457685
2018-02-09 00:00:00+00:00,7789.019003019591
2018-02-10 00:00:00+00:00,7766.1783507042155
2018-02-11 00:00:00+00:00,7320.648682599236
2018-02-12 00:00:00+00:00,8037.948906506357
2018-02-13 00:00:00+00:00,8030.045363264701
2018-02-14 00:00:00+00:00,8856.60181137134
2018-02-15 00:00:00+00:00,8841.865520599385
2018-02-16 00:00:00+00:00,8841.865520599385
2018-02-17 00:00:00+00:00,8841.865520599385
2018-02-18 00:00:00+00:00,8379.119154697933
2018-02-19 00:00:00+00:00,8371.37452039342
2018-02-20 00:00:00+00:00,8490.997192470411
2018-02-21 00:00:00+00:00,7959.886541080186
2018-02-22 00:00:00+00:00,7449.549309055515
2018-02-23 00:00:00+00:00,7670.019937784264
2018-02-24 00:00:00+00:00,7306.641795721895
2018-02-25 00:00:00+00:00,7286.949959716278
2018-02-26 00:00:00+00:00,7804.6054818114135
2018-02-27 00:00:00+00:00,8074.804125703676
2018-02-28 00:00:00+00:00,7828.094654911994
2018-03-01 00:00:00+00:00,8244.497575994614
2018-03-02 00:00:00+00:00,8346.434220346411
2018-03-03 00:00:00+00:00,8650.059849252008
2018-03-04 00:00:00+00:00,8667.299750971484
2018-03-05 00:00:00+00:00,8712.998099352117
2018-03-06 00:00:00+00:00,8649.231194396456
2018-03-07 00:00:00+00:00,7970.114864251177
