,portfolio_value
2019-01-01 00:00:00+00:00,10000.0
2019-01-02 00:00:00+00:00,10000.0
2019-01-03 00:00:00+00:00,9750.336043523692
2019-01-04 00:00:00+00:00,9803.643301354059
2019-01-05 00:00:00+00:00,9771.818646933607
2019-01-06 00:00:00+00:00,10359.973551034604
2019-01-07 00:00:00+00:00,10229.390344112298
2019-01-08 00:00:00+00:00,10227.34562092342
2019-01-09 00:00:00+00:00,10227.34562092342
2019-01-10 00:00:00+00:00,9316.850427238769
2019-01-11 00:00:00+00:00,9338.226992289005
2019-01-12 00:00:00+00:00,9272.21894911312
2019-01-13 00:00:00+00:00,8997.828657757223
2019-01-14 00:00:00+00:00,9385.55109900243
2019-01-15 00:00:00+00:00,9371.52069866965
2019-01-16 00:00:00+00:00,9371.52069866965
2019-01-17 00:00:00+00:00,9430.580575124
2019-01-18 00:00:00+00:00,9377.449760907695
2019-01-19 00:00:00+00:00,9558.774749873732
2019-01-20 00:00:00+00:00,9231.768132699248
2019-01-21 00:00:00+00:00,9167.724872131736
2019-01-22 00:00:00+00:00,9240.90366851469
2019-01-23 00:00:00+00:00,9191.030002036365
2019-01-24 00:00:00+00:00,9180.243915367204
2019-01-25 00:00:00+00:00,9180.243915367204
2019-01-26 00:00:00+00:00,9180.243915367204
2019-01-27 00:00:00+00:00,9180.243915367204
2019-01-28 00:00:00+00:00,9180.243915367204
2019-01-29 00:00:00+00:00,9116.196042473915
2019-01-30 00:00:00+00:00,9216.832200780304
2019-01-31 00:00:00+00:00,9141.777053845633
2019-02-01 00:00:00+00:00,9221.49502945787
2019-02-02 00:00:00+00:00,9309.046350700082
2019-02-03 00:00:00+00:00,9158.223465072708
2019-02-04 00:00:00+00:00,9145.376158594541
2019-02-05 00:00:00+00:00,9164.420560606111
2019-02-06 00:00:00+00:00,9162.478102601923
2019-02-07 00:00:00+00:00,9162.478102601923
2019-02-08 00:00:00+00:00,9162.478102601923
2019-02-09 00:00:00+00:00,9162.478102601923
2019-02-10 00:00:00+00:00,9195.645372969931
2019-02-11 00:00:00+00:00,9091.588949263232
2019-02-12 00:00:00+00:00,9104.292497479835
2019-02-13 00:00:00+00:00,9050.820908003581
2019-02-14 00:00:00+00:00,9012.969432528633
2019-02-15 00:00:00+00:00,9022.76249874398
2019-02-16 00:00:00+00:00,9045.13196210188
2019-02-17 00:00:00+00:00,9044.9785047482
2019-02-18 00:00:00+00:00,9044.9785047482
2019-02-19 00:00:00+00:00,9044.9785047482
2019-02-20 00:00:00+00:00,9157.58722323403
2019-02-21 00:00:00+00:00,9052.951617606717
2019-02-22 00:00:00+00:00,9170.651232671797
2019-02-23 00:00:00+00:00,9484.313225142738
2019-02-24 00:00:00+00:00,8723.971889613247
2019-02-25 00:00:00+00:00,8889.431269456714
2019-02-26 00:00:00+00:00,8824.55056470405
2019-02-27 00:00:00+00:00,8816.971069240413
2019-02-28 00:00:00+00:00,8825.52930338818
2019-03-01 00:00:00+00:00,8814.351789567247
2019-03-02 00:00:00+00:00,8814.351789567247
2019-03-03 00:00:00+00:00,8771.13315807444
2019-03-04 00:00:00+00:00,8575.932147457268
2019-03-05 00:00:00+00:00,8883.301908208668
2019-03-06 00:00:00+00:00,8900.555256501199
2019-03-07 00:00:00+00:00,8917.749603763983
2019-03-08 00:00:00+00:00,8894.146408798511
