,portfolio_value
2021-01-01 00:00:00+00:00,10000.0
2021-01-02 00:00:00+00:00,10925.464023889774
2021-01-03 00:00:00+00:00,10915.265790528994
2021-01-04 00:00:00+00:00,10915.265790528994
2021-01-05 00:00:00+00:00,11591.60937745638
2021-01-06 00:00:00+00:00,12557.314633109745
2021-01-07 00:00:00+00:00,13425.746705144245
2021-01-08 00:00:00+00:00,13912.21385928041
2021-01-09 00:00:00+00:00,13727.02649769973
2021-01-10 00:00:00+00:00,13713.187690627205
2021-01-11 00:00:00+00:00,13713.187690627205
2021-01-12 00:00:00+00:00,13713.187690627205
2021-01-13 00:00:00+00:00,13713.187690627205
2021-01-14 00:00:00+00:00,13713.187690627205
2021-01-15 00:00:00+00:00,12883.825456614979
2021-01-16 00:00:00+00:00,12869.64187998556
2021-01-17 00:00:00+00:00,12869.64187998556
2021-01-18 00:00:00+00:00,12869.64187998556
2021-01-19 00:00:00+00:00,12869.64187998556
2021-01-20 00:00:00+00:00,12869.64187998556
2021-01-21 00:00:00+00:00,11148.402261506417
2021-01-22 00:00:00+00:00,11936.84224247016
2021-01-23 00:00:00+00:00,11597.56268632161
2021-01-24 00:00:00+00:00,11677.75570203829
2021-01-25 00:00:00+00:00,11705.608416346744
2021-01-26 00:00:00+00:00,11779.19055348533
2021-01-27 00:00:00+00:00,11765.308497482058
2021-01-28 00:00:00+00:00,11765.308497482058
2021-01-29 00:00:00+00:00,11752.760563049173
2021-01-30 00:00:00+00:00,11734.009970745317
2021-01-31 00:00:00+00:00,11326.6910930382
2021-02-01 00:00:00+00:00,11471.314480385921
2021-02-02 00:00:00+00:00,12146.213377725371
2021-02-03 00:00:00+00:00,12817.24286024272
2021-02-04 00:00:00+00:00,12805.456073547677
2021-02-05 00:00:00+00:00,12805.456073547677
2021-02-06 00:00:00+00:00,13170.886665026643
2021-02-07 00:00:00+00:00,13049.270736007793
2021-02-08 00:00:00+00:00,13030.654492124648
2021-02-09 00:00:00+00:00,13101.085826604838
2021-02-10 00:00:00+00:00,13084.790607906265
2021-02-11 00:00:00+00:00,13084.790607906265
2021-02-12 00:00:00+00:00,13084.790607906265
2021-02-13 00:00:00+00:00,12965.547345714907
2021-02-14 00:00:00+00:00,13409.179573007226
2021-02-15 00:00:00+00:00,13390.063701451929
2021-02-16 00:00:00+00:00,13390.063701451929
2021-02-17 00:00:00+00:00,13390.063701451929
2021-02-18 00:00:00+00:00,13390.063701451929
2021-02-19 00:00:00+00:00,13390.063701451929
2021-02-20 00:00:00+00:00,13427.459931948735
2021-02-21 00:00:00+00:00,13772.226867998987
2021-02-22 00:00:00+00:00,13756.73135807933
2021-02-23 00:00:00+00:00,13756.73135807933
2021-02-24 00:00:00+00:00,13756.73135807933
2021-02-25 00:00:00+00:00,13019.946871904436
2021-02-26 00:00:00+00:00,13030.84878707138
2021-02-27 00:00:00+00:00,12973.909009245634
2021-02-28 00:00:00+00:00,12962.495992550748
2021-03-01 00:00:00+00:00,12962.495992550748
2021-03-02 00:00:00+00:00,12962.495992550748
2021-03-03 00:00:00+00:00,12962.495992550748
2021-03-04 00:00:00+00:00,12962.495992550748
2021-03-05 00:00:00+00:00,12962.495992550748
2021-03-06 00:00:00+00:00,12962.495992550748
2021-03-07 00:00:00+00:00,12962.495992550748
2021-03-08 00:00:00+00:00,13220.904287487747
2021-03-09 00:00:00+00:00,13873.160514670837
2021-03-10 00:00:00+00:00,14172.87965668392
2021-03-11 00:00:00+00:00,14627.49907601654
2021-03-12 00:00:00+00:00,14616.94099118999
2021-03-13 00:00:00+00:00,15595.375186985111
2021-03-14 00:00:00+00:00,15101.163823726878
2021-03-15 00:00:00+00:00,15077.187741401563
2021-03-16 00:00:00+00:00,15322.164914002258
2021-03-17 00:00:00+00:00,15312.481481482464
2021-03-18 00:00:00+00:00,15028.552323265556
2021-03-19 00:00:00+00:00,15155.237761426604
2021-03-20 00:00:00+00:00,15146.664154778618
2021-03-21 00:00:00+00:00,14941.407953113816
2021-03-22 00:00:00+00:00,14163.660074780826
2021-03-23 00:00:00+00:00,14218.154730337828
2021-03-24 00:00:00+00:00,14196.552402151141
2021-03-25 00:00:00+00:00,13907.302319482056
2021-03-26 00:00:00+00:00,14830.746147001573
2021-03-27 00:00:00+00:00,15055.665675707334
2021-03-28 00:00:00+00:00,15040.994180534128
2021-03-29 00:00:00+00:00,15040.994180534128
2021-03-30 00:00:00+00:00,15040.994180534128
2021-03-31 00:00:00+00:00,15040.994180534128
2021-04-01 00:00:00+00:00,15040.994180534128
2021-04-02 00:00:00+00:00,15040.994180534128
2021-04-03 00:00:00+00:00,14572.240803196135
2021-04-04 00:00:00+00:00,14557.90844917499
2021-04-05 00:00:00+00:00,14616.859179263936
2021-04-06 00:00:00+00:00,14402.642594796576
2021-04-07 00:00:00+00:00,13872.144441309501
2021-04-08 00:00:00+00:00,14435.212124015103
2021-04-09 00:00:00+00:00,14421.422087890625
2021-04-10 00:00:00+00:00,14421.422087890625
2021-04-11 00:00:00+00:00,14493.360096279648
2021-04-12 00:00:00+00:00,14471.887744885793
2021-04-13 00:00:00+00:00,14471.887744885793
2021-04-14 00:00:00+00:00,14471.887744885793
2021-04-15 00:00:00+00:00,14471.887744885793
2021-04-16 00:00:00+00:00,14072.154129345901
2021-04-17 00:00:00+00:00,13868.984751173444
2021-04-18 00:00:00+00:00,12847.928640878372
2021-04-19 00:00:00+00:00,12735.50324029731
2021-04-20 00:00:00+00:00,12906.6298928688
2021-04-21 00:00:00+00:00,12319.968225275936
2021-04-22 00:00:00+00:00,11830.009668044624
2021-04-23 00:00:00+00:00,11677.199648738348
2021-04-24 00:00:00+00:00,11676.841059821007
2021-04-25 00:00:00+00:00,11676.841059821007
2021-04-26 00:00:00+00:00,12840.280554245146
2021-04-27 00:00:00+00:00,13080.6686818881
