,portfolio_value
2020-01-01 00:00:00+00:00,10000.0
2020-01-02 00:00:00+00:00,9688.906726911884
2020-01-03 00:00:00+00:00,10187.417094976043
2020-01-04 00:00:00+00:00,10278.644058891621
2020-01-05 00:00:00+00:00,10279.560378487304
2020-01-06 00:00:00+00:00,10268.081930743534
2020-01-07 00:00:00+00:00,10779.387725270657
2020-01-08 00:00:00+00:00,10668.698638837333
2020-01-09 00:00:00+00:00,10403.57234903463
2020-01-10 00:00:00+00:00,10783.166484586289
2020-01-11 00:00:00+00:00,10612.812200516631
2020-01-12 00:00:00+00:00,10817.417736700769
2020-01-13 00:00:00+00:00,10753.642388810697
2020-01-14 00:00:00+00:00,11656.232673990376
2020-01-15 00:00:00+00:00,11628.829093380988
2020-01-16 00:00:00+00:00,11518.938826738155
2020-01-17 00:00:00+00:00,11789.95472008092
2020-01-18 00:00:00+00:00,11808.137380074004
2020-01-19 00:00:00+00:00,11495.777565920074
2020-01-20 00:00:00+00:00,11431.602485770029
2020-01-21 00:00:00+00:00,11548.130886846191
2020-01-22 00:00:00+00:00,11534.361951837493
2020-01-23 00:00:00+00:00,11534.361951837493
2020-01-24 00:00:00+00:00,11577.479787308459
2020-01-25 00:00:00+00:00,11471.119253479234
2020-01-26 00:00:00+00:00,11785.021319599751
2020-01-27 00:00:00+00:00,12214.084711874048
2020-01-28 00:00:00+00:00,12205.575193110495
2020-01-29 00:00:00+00:00,12205.575193110495
2020-01-30 00:00:00+00:00,12445.94908989503
2020-01-31 00:00:00+00:00,12238.541934418548
2020-02-01 00:00:00+00:00,12293.966568359961
2020-02-02 00:00:00+00:00,12277.678439005897
2020-02-03 00:00:00+00:00,12198.247735111856
2020-02-04 00:00:00+00:00,12185.158253034102
2020-02-05 00:00:00+00:00,12185.158253034102
2020-02-06 00:00:00+00:00,12185.158253034102
2020-02-07 00:00:00+00:00,12260.509873761941
2020-02-08 00:00:00+00:00,12347.089626004907
2020-02-09 00:00:00+00:00,12661.933088930118
2020-02-10 00:00:00+00:00,12336.441328507297
2020-02-11 00:00:00+00:00,12776.531846204674
2020-02-12 00:00:00+00:00,12923.992188249751
2020-02-13 00:00:00+00:00,12784.221061029912
2020-02-14 00:00:00+00:00,12906.546923077185
2020-02-15 00:00:00+00:00,12377.510364804037
2020-02-16 00:00:00+00:00,12433.84293865245
2020-02-17 00:00:00+00:00,12424.068508013825
2020-02-18 00:00:00+00:00,12424.068508013825
2020-02-19 00:00:00+00:00,12424.068508013825
2020-02-20 00:00:00+00:00,12424.068508013825
2020-02-21 00:00:00+00:00,12424.068508013825
2020-02-22 00:00:00+00:00,12380.223131326737
2020-02-23 00:00:00+00:00,12715.037601206855
2020-02-24 00:00:00+00:00,12363.55910314974
2020-02-25 00:00:00+00:00,11968.355516367521
2020-02-26 00:00:00+00:00,11300.629571340913
2020-02-27 00:00:00+00:00,11254.471001513302
2020-02-28 00:00:00+00:00,11110.929397437138
2020-02-29 00:00:00+00:00,11017.472462777096
2020-03-01 00:00:00+00:00,10969.998937351167
