,portfolio_value
2023-01-01 00:00:00+00:00,10000.0
2023-01-02 00:00:00+00:00,10000.0
2023-01-03 00:00:00+00:00,10000.0
2023-01-04 00:00:00+00:00,10000.0
2023-01-05 00:00:00+00:00,10000.0
2023-01-06 00:00:00+00:00,10000.0
2023-01-07 00:00:00+00:00,10000.0
2023-01-08 00:00:00+00:00,10070.724234012167
2023-01-09 00:00:00+00:00,10132.835733515134
2023-01-10 00:00:00+00:00,10279.990615772806
2023-01-11 00:00:00+00:00,10567.893585444102
2023-01-12 00:00:00+00:00,11118.647771568601
2023-01-13 00:00:00+00:00,11731.445556909417
2023-01-14 00:00:00+00:00,12359.998510458414
2023-01-15 00:00:00+00:00,12303.726435607623
2023-01-16 00:00:00+00:00,12473.9179286778
2023-01-17 00:00:00+00:00,12469.137288156486
2023-01-18 00:00:00+00:00,12190.582691849328
2023-01-19 00:00:00+00:00,12425.105678540336
2023-01-20 00:00:00+00:00,13361.849977242155
2023-01-21 00:00:00+00:00,13421.405433750939
2023-01-22 00:00:00+00:00,13387.695818558397
2023-01-23 00:00:00+00:00,13513.801611953564
2023-01-24 00:00:00+00:00,13338.231035157674
2023-01-25 00:00:00+00:00,13621.883907225405
2023-01-26 00:00:00+00:00,13571.750478628994
2023-01-27 00:00:00+00:00,13598.82658107121
2023-01-28 00:00:00+00:00,13570.756142227836
2023-01-29 00:00:00+00:00,14008.839584895979
2023-01-30 00:00:00+00:00,13994.879032772566
2023-01-31 00:00:00+00:00,14163.588058416533
2023-02-01 00:00:00+00:00,14521.352968620016
2023-02-02 00:00:00+00:00,14505.030588523869
2023-02-03 00:00:00+00:00,14505.030588523869
2023-02-04 00:00:00+00:00,14505.030588523869
2023-02-05 00:00:00+00:00,14256.648756286213
2023-02-06 00:00:00+00:00,14135.198028807767
2023-02-07 00:00:00+00:00,14119.299693723551
2023-02-08 00:00:00+00:00,14119.299693723551
2023-02-09 00:00:00+00:00,13412.092970786269
2023-02-10 00:00:00+00:00,13308.9127552836
2023-02-11 00:00:00+00:00,13296.008033271977
2023-02-12 00:00:00+00:00,13296.008033271977
2023-02-13 00:00:00+00:00,13296.008033271977
2023-02-14 00:00:00+00:00,13537.976139659884
2023-02-15 00:00:00+00:00,14809.49888542244
2023-02-16 00:00:00+00:00,14794.389822254705
2023-02-17 00:00:00+00:00,14794.389822254705
2023-02-18 00:00:00+00:00,14825.308724423414
2023-02-19 00:00:00+00:00,14636.611841455935
2023-02-20 00:00:00+00:00,14938.340485171211
2023-02-21 00:00:00+00:00,14702.017266169754
2023-02-22 00:00:00+00:00,14553.10417873068
2023-02-23 00:00:00+00:00,14407.896145264347
2023-02-24 00:00:00+00:00,13957.044073272344
2023-02-25 00:00:00+00:00,13944.287942597073
2023-02-26 00:00:00+00:00,14163.0129672266
2023-02-27 00:00:00+00:00,14139.965114433611
2023-02-28 00:00:00+00:00,13914.235634669769
2023-03-01 00:00:00+00:00,14214.310905797434
2023-03-02 00:00:00+00:00,14111.469651383402
2023-03-03 00:00:00+00:00,13442.555944223963
2023-03-04 00:00:00+00:00,13436.947488577685
2023-03-05 00:00:00+00:00,13486.337589504557
2023-03-06 00:00:00+00:00,13482.877652558864
2023-03-07 00:00:00+00:00,13468.532708193909
2023-03-08 00:00:00+00:00,13468.532708193909
