seed,initial_value,final_value,total_return,annualized_return,annualized_volatility,sharpe_ratio,sortino_ratio,maximum_drawdown,calmar_ratio,trade_count,total_transaction_cost
42,10000.0,17129.920760606157,0.7129920760606157,0.3843931574418331,0.4136100840801525,0.9923473440428898,1.3330242319240455,-0.36211040065391853,1.0615358099288923,85,1178.016736472252
123,10000.0,23828.219571746904,1.3828219571746905,0.6899668978816538,0.38989149120398425,1.5390210809388072,2.3005005207623466,-0.23383973834679395,2.950597288380491,163,2518.3219776261476
2026,10000.0,20392.737595627867,1.0392737595627866,0.5382166148484586,0.3661634162267869,1.3580445316793903,1.7633897944155112,-0.33103484554635254,1.6258609088724947,137,2291.2376217988594
