,portfolio_value
2024-01-01 00:00:00+00:00,10000.0
2024-01-02 00:00:00+00:00,10000.0
2024-01-03 00:00:00+00:00,10000.0
2024-01-04 00:00:00+00:00,10000.0
2024-01-05 00:00:00+00:00,9983.153036270343
2024-01-06 00:00:00+00:00,9943.9335503208
2024-01-07 00:00:00+00:00,9933.512990742043
2024-01-08 00:00:00+00:00,10617.870282708041
2024-01-09 00:00:00+00:00,10611.122362419159
2024-01-10 00:00:00+00:00,10611.122362419159
2024-01-11 00:00:00+00:00,10611.122362419159
2024-01-12 00:00:00+00:00,9799.752293813846
2024-01-13 00:00:00+00:00,9797.285921671251
2024-01-14 00:00:00+00:00,9558.05854331279
2024-01-15 00:00:00+00:00,9721.726141137548
2024-01-16 00:00:00+00:00,9709.118405846955
2024-01-17 00:00:00+00:00,9709.118405846955
2024-01-18 00:00:00+00:00,9709.118405846955
2024-01-19 00:00:00+00:00,9709.118405846955
2024-01-20 00:00:00+00:00,9708.962243853657
2024-01-21 00:00:00+00:00,9681.046129492872
2024-01-22 00:00:00+00:00,9206.05165502481
2024-01-23 00:00:00+00:00,9199.487202897186
2024-01-24 00:00:00+00:00,9199.487202897186
2024-01-25 00:00:00+00:00,9199.487202897186
2024-01-26 00:00:00+00:00,9199.487202897186
2024-01-27 00:00:00+00:00,9199.487202897186
2024-01-28 00:00:00+00:00,9199.487202897186
2024-01-29 00:00:00+00:00,9465.210195471034
2024-01-30 00:00:00+00:00,9458.361960263617
2024-01-31 00:00:00+00:00,9458.361960263617
2024-02-01 00:00:00+00:00,9458.361960263617
2024-02-02 00:00:00+00:00,9458.361960263617
2024-02-03 00:00:00+00:00,9406.737441930543
2024-02-04 00:00:00+00:00,9317.320575333464
2024-02-05 00:00:00+00:00,9306.700301295674
2024-02-06 00:00:00+00:00,9306.700301295674
2024-02-07 00:00:00+00:00,9306.700301295674
2024-02-08 00:00:00+00:00,9306.700301295674
2024-02-09 00:00:00+00:00,9677.072738079914
2024-02-10 00:00:00+00:00,9805.166230587265
2024-02-11 00:00:00+00:00,9912.439439342139
2024-02-12 00:00:00+00:00,10254.041862946122
2024-02-13 00:00:00+00:00,10209.752257489912
2024-02-14 00:00:00+00:00,10637.550238910348
2024-02-15 00:00:00+00:00,10628.981581699
2024-02-16 00:00:00+00:00,10663.83658145877
2024-02-17 00:00:00+00:00,10562.185625159847
2024-02-18 00:00:00+00:00,10656.137989961566
2024-02-19 00:00:00+00:00,10585.931467439708
2024-02-20 00:00:00+00:00,10689.324988743496
2024-02-21 00:00:00+00:00,10676.319619967899
2024-02-22 00:00:00+00:00,10676.319619967899
2024-02-23 00:00:00+00:00,10550.851404743615
2024-02-24 00:00:00+00:00,10725.372033680465
2024-02-25 00:00:00+00:00,10759.092015922972
2024-02-26 00:00:00+00:00,11339.161499159232
2024-02-27 00:00:00+00:00,11872.188572880603
2024-02-28 00:00:00+00:00,11857.350870001726
2024-02-29 00:00:00+00:00,11857.350870001726
2024-03-01 00:00:00+00:00,12091.932964379124
2024-03-02 00:00:00+00:00,12012.382416147932
2024-03-03 00:00:00+00:00,12232.66937565015
2024-03-04 00:00:00+00:00,13232.517818214874
2024-03-05 00:00:00+00:00,13221.343848695822
2024-03-06 00:00:00+00:00,13221.343848695822
2024-03-07 00:00:00+00:00,13221.343848695822
2024-03-08 00:00:00+00:00,13476.870266305477
2024-03-09 00:00:00+00:00,13516.095020746947
2024-03-10 00:00:00+00:00,13618.879447044425
2024-03-11 00:00:00+00:00,14231.379113303616
2024-03-12 00:00:00+00:00,14217.387975598494
2024-03-13 00:00:00+00:00,14217.387975598494
2024-03-14 00:00:00+00:00,14217.387975598494
2024-03-15 00:00:00+00:00,13808.418216084217
2024-03-16 00:00:00+00:00,12994.94839095074
2024-03-17 00:00:00+00:00,13606.84448821522
2024-03-18 00:00:00+00:00,13439.315849999564
2024-03-19 00:00:00+00:00,13427.374989064598
2024-03-20 00:00:00+00:00,13427.374989064598
2024-03-21 00:00:00+00:00,13427.374989064598
2024-03-22 00:00:00+00:00,13427.374989064598
2024-03-23 00:00:00+00:00,13427.374989064598
2024-03-24 00:00:00+00:00,13427.374989064598
2024-03-25 00:00:00+00:00,13957.559233375292
2024-03-26 00:00:00+00:00,13963.349731149428
2024-03-27 00:00:00+00:00,13857.111632148808
2024-03-28 00:00:00+00:00,14114.403009692967
2024-03-29 00:00:00+00:00,13944.394618516517
2024-03-30 00:00:00+00:00,13895.010946651662
2024-03-31 00:00:00+00:00,14231.85425566186
2024-04-01 00:00:00+00:00,13906.35190541468
2024-04-02 00:00:00+00:00,13893.0185743108
2024-04-03 00:00:00+00:00,13893.0185743108
2024-04-04 00:00:00+00:00,13893.0185743108
2024-04-05 00:00:00+00:00,13893.0185743108
2024-04-06 00:00:00+00:00,14095.072431034536
2024-04-07 00:00:00+00:00,14190.499887308137
2024-04-08 00:00:00+00:00,14654.662039456996
2024-04-09 00:00:00+00:00,14640.240498198165
2024-04-10 00:00:00+00:00,14640.240498198165
2024-04-11 00:00:00+00:00,14640.240498198165
2024-04-12 00:00:00+00:00,14027.41214920083
2024-04-13 00:00:00+00:00,13322.99348738381
2024-04-14 00:00:00+00:00,13312.748166870908
2024-04-15 00:00:00+00:00,12831.416295423978
2024-04-16 00:00:00+00:00,12817.18753100219
2024-04-17 00:00:00+00:00,12817.18753100219
2024-04-18 00:00:00+00:00,12817.18753100219
2024-04-19 00:00:00+00:00,12817.18753100219
2024-04-20 00:00:00+00:00,12817.18753100219
2024-04-21 00:00:00+00:00,12817.18753100219
2024-04-22 00:00:00+00:00,12817.18753100219
2024-04-23 00:00:00+00:00,12721.494823569768
2024-04-24 00:00:00+00:00,12313.383586172415
2024-04-25 00:00:00+00:00,12352.618316501546
2024-04-26 00:00:00+00:00,12213.466015794833
2024-04-27 00:00:00+00:00,12149.064814948279
2024-04-28 00:00:00+00:00,12137.7530211194
2024-04-29 00:00:00+00:00,12266.795809748217
2024-04-30 00:00:00+00:00,11651.110003035179
2024-05-01 00:00:00+00:00,11634.207164224807
2024-05-02 00:00:00+00:00,11634.207164224807
2024-05-03 00:00:00+00:00,11634.207164224807
2024-05-04 00:00:00+00:00,11807.459466349692
2024-05-05 00:00:00+00:00,11833.269352480476
2024-05-06 00:00:00+00:00,11672.639934729605
2024-05-07 00:00:00+00:00,11661.117298650743
2024-05-08 00:00:00+00:00,11661.117298650743
2024-05-09 00:00:00+00:00,11661.117298650743
2024-05-10 00:00:00+00:00,11231.474839968738
2024-05-11 00:00:00+00:00,11231.647321555729
