fold,seed,initial_value,final_value,total_return,annualized_return,annualized_volatility,sharpe_ratio,sortino_ratio,maximum_drawdown,calmar_ratio,trade_count,total_transaction_cost
2018,0,10000.0,8764.538896680166,-0.12354611033198348,-0.12386357757902011,0.5399489715385901,0.024065527174969847,0.03483877355760935,-0.5712867201394416,-0.21681508288655313,118,1383.2137524822003
2018,1,10000.0,12697.23030600064,0.269723030600064,0.27055629379862856,0.5284079191007345,0.717345514714569,1.0736581575762065,-0.32496536803369414,0.8325696225284408,115,1367.6241873657114
2018,2,10000.0,3673.175811916903,-0.6326824188083098,-0.633691686322194,0.5444763655850653,-1.5686531341802048,-2.047349376006432,-0.6404924191180129,-0.9893820245285903,126,813.509237670529
2018,3,10000.0,2564.226201586116,-0.7435773798413884,-0.7445343063516199,0.50046512572222,-2.4650755408279794,-2.9199026273122652,-0.7435773798413884,-1.001286922566735,115,476.2486589265292
2018,4,10000.0,6545.0491795295475,-0.34549508204704527,-0.3462568061527228,0.5860067477011432,-0.4282402975053224,-0.5765636882311058,-0.6174097793904776,-0.5608217066055484,125,750.8085199899102
2018,5,10000.0,2096.6647724170243,-0.7903335227582976,-0.7912314537501751,0.5139811634591361,-2.776476956843264,-3.2476008042728726,-0.7909007935109547,-1.0004180805505993,132,625.3693167166599
2018,6,10000.0,3357.481734024092,-0.6642518265975907,-0.6652570043625778,0.5623293700874468,-1.6606582206246687,-2.1619636911499542,-0.7642946930590039,-0.8704194997088901,115,734.9529005847938
2018,7,10000.0,3495.023642579112,-0.6504976357420889,-0.6515055548531278,0.5665243706936628,-1.568065703272808,-1.9420619176631837,-0.692195492991034,-0.9412161180621365,126,826.7347343528634
2018,8,10000.0,3569.8108344992525,-0.6430189165500748,-0.6440276983849129,0.5772777198208272,-1.4918177758965865,-1.875822860310819,-0.6642066449872851,-0.9696194749711388,112,552.18971556994
2018,9,10000.0,2880.432116536635,-0.7119567883463365,-0.7129400280058199,0.48201829895920334,-2.339575727074444,-2.824849463995249,-0.7553659451155408,-0.9438339557348837,122,631.2198448338966
2018,10,10000.0,3534.5601453640074,-0.6465439854635993,-0.647552414835744,0.5587590346599316,-1.5802345471507233,-2.0291142478323367,-0.6697449125161237,-0.9668642534409018,119,725.1768892821135
2018,11,10000.0,2556.3127805644913,-0.7443687219435509,-0.7453248578458471,0.563889901958141,-2.1313224623660565,-2.57883250871187,-0.7832420820294935,-0.9515893935558245,132,624.7272687847384
2018,12,10000.0,2999.6998634456872,-0.7000300136554313,-0.7010206427604259,0.5099844991130819,-2.1010327764941334,-2.518059342358899,-0.7757273314702379,-0.9036946544500112,121,644.0054587950506
2018,13,10000.0,3265.8016416684673,-0.6734198358331533,-0.6744223304840049,0.5417461377953676,-1.7955448025393936,-2.3349357545841776,-0.7052310896841546,-0.9563139520494655,130,746.0465743229776
2018,14,10000.0,7892.2005088231435,-0.2107799491176856,-0.21129301402326195,0.5085453150882031,-0.2122256969858466,-0.29602630849288086,-0.4402030261564831,-0.47998991708010574,126,1372.774501886764
2018,15,10000.0,3589.8676071307896,-0.641013239286921,-0.6420221789228115,0.6149289001599753,-1.3549017322827654,-1.7304207029808747,-0.6813400506438938,-0.9422933208110615,112,621.6275706049634
2018,16,10000.0,4025.0574229433278,-0.5974942577056672,-0.5984993159245623,0.6011640751662198,-1.2117818594029752,-1.5788244460420449,-0.6815948798550965,-0.8780865784258828,131,966.6580980529923
2018,17,10000.0,2997.0130276866485,-0.7002986972313352,-0.7012891744018677,0.6131857128211455,-1.6550445504678928,-2.079402770600424,-0.7333454232265437,-0.9562876540721612,123,756.0997697370339
2018,18,10000.0,5552.39466576208,-0.44476053342379196,-0.4456572765014457,0.5081315803959077,-0.9053088148080799,-1.2156667069863516,-0.6078260528117875,-0.7331987078208424,119,875.7212416790388
2018,19,10000.0,3390.72345959613,-0.660927654040387,-0.6619336338099897,0.5815420505876703,-1.5697164507141925,-2.05294591221949,-0.7306643813367094,-0.9059339016896093,125,1064.2034792932457
2018,20,10000.0,1560.5106026787198,-0.843948939732128,-0.844743274041228,0.6032744368821688,-2.7724195636599855,-3.35331074751437,-0.8683420092100452,-0.9728232252746982,110,398.86772788823436
2018,21,10000.0,8350.312351783106,-0.16496876482168932,-0.16538224638432586,0.5471658146910018,-0.057110892774449695,-0.08096756452052514,-0.40232449206760723,-0.4110668121008521,121,1140.0755405114505
2018,22,10000.0,7052.374387941202,-0.29476256120587974,-0.2954388398769816,0.578532437029926,-0.3143606312759045,-0.4365935072126389,-0.4519817913288299,-0.6536520840992049,132,1052.8947443676648
2018,23,10000.0,2669.513553644866,-0.7330486446355133,-0.7340154601713154,0.6045301486247175,-1.877155988665447,-2.3102412074870404,-0.8136405601830112,-0.9021372533422057,125,462.31064794532546
2018,24,10000.0,5252.906484235138,-0.4747093515764862,-0.4756376073205447,0.6175744128694827,-0.733752777394836,-1.0052054641265316,-0.5829278264056974,-0.8159459641055419,128,992.9533042015886
2018,25,10000.0,4112.019875297894,-0.5887980124702106,-0.5898006978030607,0.5955516311228585,-1.1930149158987897,-1.5556848728544754,-0.6616481728233303,-0.8914113603402122,117,740.7383259303035
2018,26,10000.0,5664.820223844417,-0.4335179776155582,-0.4344017308361311,0.4508777017794819,-1.0373787560595071,-1.4048725590186544,-0.647462517883912,-0.6709295423862945,122,873.5927932221595
2018,27,10000.0,6793.101546246851,-0.32068984537531486,-0.3214110939051086,0.45858830994871086,-0.6141430283987331,-0.8291888762134206,-0.34296165062580886,-0.9371633630717121,108,904.710703809714
2018,28,10000.0,6157.629993287019,-0.38423700067129807,-0.38505672722234907,0.5225415342607438,-0.6698218002282941,-0.954545772384657,-0.6096948182526769,-0.6315565028515124,120,1076.7726487846337
2018,29,10000.0,5809.932268610986,-0.41900677313890133,-0.4198728542271548,0.589437434067742,-0.6267750037634394,-0.8601197293661786,-0.5457663320879154,-0.7693271452287371,129,854.1460455350092
2019,0,10000.0,16659.18012600804,0.665918012600804,0.6682554891914685,0.42344230250921605,1.4160453091712906,2.4105291864242915,-0.30630837535150435,2.1816428898642144,118,1884.4020087548977
2019,1,10000.0,11421.082950036327,0.14210829500363276,0.14252529063922426,0.4666757628930936,0.5172822288629946,0.7828704246156233,-0.3324819528441938,0.4286707576757221,115,1319.5767825901885
2019,2,10000.0,16745.83866216581,0.6745838662165811,0.6769574047725495,0.5293276216098679,1.237398112167085,2.0061349405163145,-0.26695157738996367,2.535880894172984,126,1895.2444650455302
2019,3,10000.0,11428.11756695973,0.142811756695973,0.1432309430623333,0.48148893258116027,0.5155062213912273,0.7945160544276949,-0.29797306217584385,0.48068420016373137,115,1181.1199074417646
2019,4,10000.0,8124.255054612033,-0.1875744945387967,-0.18803800514224434,0.5081778672450337,-0.15439672008184305,-0.214341517053548,-0.4760483901592827,-0.39499767046650036,125,1285.2160137985484
2019,5,10000.0,17496.5772848799,0.74965772848799,0.7523487899565464,0.5060080860519046,1.355451374299238,2.392147255491524,-0.25077324892918373,3.0001158144623448,132,2193.9222909675727
2019,6,10000.0,9990.678312510396,-0.0009321687489604047,-0.0009347284548697488,0.47834705024145774,0.23303911179227754,0.3602949731767634,-0.39333851578700185,-0.002376396964328601,115,1265.2995318024407
2019,7,10000.0,21987.603561349504,1.1987603561349505,1.2035248225123958,0.5112912254926644,1.7956343307569214,3.2065588582551685,-0.3949150049879224,3.0475540491281228,126,2475.1843899367495
2019,8,10000.0,11813.181937532228,0.1813181937532229,0.18185909817501456,0.4830055721117475,0.5860646362936204,0.8587191570774643,-0.3559078585093338,0.5109724155479562,112,1353.3746874604137
2019,9,10000.0,11092.251196451145,0.10922511964511461,0.10954105512611689,0.39748995177131635,0.45610037095281036,0.7410469947151785,-0.42886568211653864,0.2554204257741251,122,1628.1398666028917
2019,10,10000.0,9581.777836083525,-0.041822216391647404,-0.04193466917177924,0.5229066091197809,0.1774057926275682,0.2641186972475085,-0.5077182757709133,-0.08259436615336752,119,1523.9300527414127
2019,11,10000.0,10384.52492685746,0.03845249268574613,0.03856014247365103,0.459360841955151,0.3072767613440168,0.48160198780764074,-0.34802282486270564,0.11079774003001938,132,1548.0149907593932
2019,12,10000.0,9174.26883249447,-0.08257311675055301,-0.08279030544664889,0.44119217205421607,0.022178790418421582,0.033427112349465285,-0.46815420541962127,-0.1768440921564324,121,1288.7283681904667
2019,13,10000.0,12475.621343622412,0.24756213436224117,0.24832046902810223,0.42862028183289025,0.7312989083689906,1.1084305642599812,-0.24798282504095936,1.0013615619835248,130,1557.1263832822306
2019,14,10000.0,8945.500867274164,-0.10544991327258357,-0.10572372750467629,0.5094576564266813,0.034243427532316593,0.05006314268303592,-0.3817782746341857,-0.2769244206103116,126,1308.3158184851238
2019,15,10000.0,15660.076954922695,0.5660076954922695,0.5679385570367297,0.4979263727414886,1.1488601824002052,1.8462788768494023,-0.311974575675511,1.820464234327384,112,1627.824537268901
2019,16,10000.0,12762.370777695267,0.27623707776952666,0.2770925693110995,0.5029126500699717,0.733827396556138,1.1656872316821834,-0.32623027307122365,0.8493772411201205,131,1775.1971061634897
2019,17,10000.0,8956.19629804231,-0.10438037019576896,-0.10465157264006841,0.4889046317835814,0.01901710556655602,0.02699554785554708,-0.5488194146743405,-0.19068489532602773,123,1337.3780159845194
2019,18,10000.0,11278.52112617079,0.12785211261707907,0.12822496975839837,0.4095540034923399,0.49627926644593806,0.7891320816115533,-0.4119300698551166,0.31127848909767003,119,1455.915429797003
2019,19,10000.0,10866.698869015929,0.08666988690159294,0.08691805173562694,0.45365961045013153,0.40802792869755516,0.6221648315412311,-0.4235062518382888,0.20523440057460035,125,1542.9997521308392
2019,20,10000.0,14690.85342511014,0.46908534251101397,0.4706385502952315,0.5379031552668648,0.9811168543961355,1.6152062600610064,-0.4408513408592907,1.0675674692922126,110,1732.5859870002957
2019,21,10000.0,9402.752812500588,-0.05972471874994112,-0.05988378384093118,0.4278324004365778,0.07073736788245868,0.09831478251689532,-0.44474370448082146,-0.13464785052064415,121,1309.7929735353105
2019,22,10000.0,20379.44642739282,1.0379446427392822,1.0419345266389706,0.49386804877581164,1.6874111960920941,3.050608288517175,-0.2247109985233806,4.636775829780134,132,1981.1465748181106
2019,23,10000.0,16139.724434785428,0.6139724434785427,0.6160963842310401,0.5047555034603967,1.200187083257965,1.9462318090244273,-0.2955628069460736,2.08448549598275,125,1920.5464167587324
2019,24,10000.0,9217.714607965343,-0.07822853920346573,-0.07843479530616837,0.5117126791940757,0.09391613108770815,0.14069970978551358,-0.39271938249741656,-0.1997222413810562,128,1334.8320097763687
2019,25,10000.0,5598.634258931906,-0.4401365741068094,-0.44102804966230424,0.46060980627571485,-1.0303630768513516,-1.4096936234667439,-0.48662906864153777,-0.906292036547401,117,1028.5366316663951
2019,26,10000.0,20533.024332652225,1.0533024332652223,1.0573648182782538,0.3986604143293884,2.0048320777396382,3.9231129873144073,-0.12776086757479543,8.276124280850217,122,1727.2149011186366
2019,27,10000.0,12391.93236543157,0.23919323654315705,0.23992355624223483,0.46364464410770007,0.6945644381669108,1.0453541703461224,-0.2592636782301433,0.9254036580830246,108,1250.4904406223438
2019,28,10000.0,14948.279254524756,0.49482792545247567,0.4964797644266108,0.4679350704987503,1.0942218582091663,1.7034691619555395,-0.3114308780796806,1.5941892707876733,120,1768.4240831675165
2019,29,10000.0,12937.85356185418,0.293785356185418,0.29470118368485565,0.45005929172241477,0.7986987880928916,1.201274824857427,-0.36771667076488557,0.8014354722396709,129,1889.8233278747023
2020,0,10000.0,13485.157611716604,0.3485157611716605,0.3485157611716605,0.5370579825610727,0.8670727255711762,1.0812764062324134,-0.44988582679758826,0.7746760186967704,119,1388.3423763624307
2020,1,10000.0,26132.55514534741,1.6132555145347411,1.6132555145347411,0.44519884349912703,2.376682279925656,4.403381543953852,-0.20148507333259535,8.006823968898722,116,1846.9276845712939
2020,2,10000.0,9084.255197542432,-0.09157448024575676,-0.09157448024575676,0.5894678270680811,0.1695353203226671,0.21291521764710317,-0.48167431387385196,-0.19011700978877535,126,933.2141653646811
2020,3,10000.0,11660.660278150148,0.16606602781501478,0.16606602781501478,0.5470658927783361,0.5960892688094374,0.7334214310756819,-0.5257670408150485,0.3158547701232428,115,915.035742386676
2020,4,10000.0,19001.751235091713,0.9001751235091713,0.9001751235091713,0.44306324761606825,1.6664878877768106,2.845263706794371,-0.2885082812311134,3.1201015085874575,125,1434.4984759666856
2020,5,10000.0,12304.93577247656,0.23049357724765596,0.23049357724765596,0.5710492292831665,0.6874087703013197,0.8802106948819999,-0.5399627833309765,0.426869377599997,132,1142.6504305910805
2020,6,10000.0,23649.505649025472,1.3649505649025473,1.3649505649025473,0.39368816879518936,2.3824052313082706,4.20974200673479,-0.1853191742618977,7.365403878681032,116,1552.459313973485
2020,7,10000.0,22134.941656427563,1.2134941656427563,1.2134941656427563,0.41057326976219694,2.139635455265526,3.588381826170381,-0.12723801931371215,9.537197861048288,126,1976.3799070356079
2020,8,10000.0,19866.51410186773,0.9866514101867732,0.9866514101867732,0.3824549632480111,1.9855346807568817,3.272352453374265,-0.2252492333742412,4.380265341669321,113,1937.0298360486693
2020,9,10000.0,14578.933054852972,0.45789330548529716,0.45789330548529716,0.5868335606509317,0.9736500174178089,1.2575023221091588,-0.47226960264615037,0.9695591308856168,123,1118.9370374468551
2020,10,10000.0,12502.04132037548,0.2502041320375479,0.2502041320375479,0.5994012993625247,0.7056159945221737,0.9428355727533108,-0.5257097962212114,0.47593583729275885,119,1000.8609226851922
