metric,mean,std,median,minimum,maximum
total_return,-0.6092584139567219,0.014120254705534475,-0.6165352780849163,-0.6182559238556925,-0.592984039929557
annualized_return,-0.6102653941106747,0.014122930217328909,-0.6175437131449019,-0.6192645379587502,-0.5939879312283722
annualized_volatility,0.6950133954794889,0.01988235193830922,0.6864084341358249,0.6808829192858494,0.717748833016792
sharpe_ratio,-1.0043845920908614,0.09692046772313057,-1.056399957538657,-1.0641928658183692,-0.8925609529155575
sortino_ratio,-1.3211180495564596,0.10217897785626605,-1.3746582970374395,-1.3854007947466511,-1.203295056885288
maximum_drawdown,-0.7429322858189904,0.02216984045686817,-0.747165116151002,-0.7626805496220044,-0.718951191683965
calmar_ratio,-0.8222254030037809,0.04143103235988399,-0.8265157189433029,-0.8613443375874744,-0.7788161524805652
trade_count,93.0,2.6457513110645907,92.0,91.0,96.0
total_transaction_cost,622.5313300754482,109.74339751920688,562.2427928722707,556.1479730433124,749.2032243107615
