,portfolio_value
2022-01-01 00:00:00+00:00,10000.0
2022-01-02 00:00:00+00:00,10000.0
2022-01-03 00:00:00+00:00,9803.165576549138
2022-01-04 00:00:00+00:00,9793.51721708519
2022-01-05 00:00:00+00:00,9793.51721708519
2022-01-06 00:00:00+00:00,9793.51721708519
2022-01-07 00:00:00+00:00,9421.955845900811
2022-01-08 00:00:00+00:00,9461.867202838639
2022-01-09 00:00:00+00:00,9502.146092131883
2022-01-10 00:00:00+00:00,9481.66435530365
2022-01-11 00:00:00+00:00,9471.785445151829
2022-01-12 00:00:00+00:00,9471.785445151829
2022-01-13 00:00:00+00:00,9471.785445151829
2022-01-14 00:00:00+00:00,9471.785445151829
2022-01-15 00:00:00+00:00,9471.785445151829
2022-01-16 00:00:00+00:00,9471.785445151829
2022-01-17 00:00:00+00:00,9471.785445151829
2022-01-18 00:00:00+00:00,9490.433723841545
2022-01-19 00:00:00+00:00,9349.04691971335
2022-01-20 00:00:00+00:00,9110.773927527282
2022-01-21 00:00:00+00:00,8164.969397237521
2022-01-22 00:00:00+00:00,7845.364042717805
2022-01-23 00:00:00+00:00,8124.5420480872735
2022-01-24 00:00:00+00:00,8209.092081325567
2022-01-25 00:00:00+00:00,8200.98961330474
2022-01-26 00:00:00+00:00,8200.98961330474
2022-01-27 00:00:00+00:00,8200.98961330474
2022-01-28 00:00:00+00:00,8200.98961330474
2022-01-29 00:00:00+00:00,8200.98961330474
2022-01-30 00:00:00+00:00,8200.98961330474
2022-01-31 00:00:00+00:00,8314.392676190804
2022-02-01 00:00:00+00:00,8370.598513514891
2022-02-02 00:00:00+00:00,7983.801280454569
2022-02-03 00:00:00+00:00,8027.361268556995
2022-02-04 00:00:00+00:00,8966.386465639422
2022-02-05 00:00:00+00:00,8953.48574145347
2022-02-06 00:00:00+00:00,9163.331388791941
2022-02-07 00:00:00+00:00,9471.822930836346
2022-02-08 00:00:00+00:00,9531.92025312847
2022-02-09 00:00:00+00:00,9579.527858213483
2022-02-10 00:00:00+00:00,9412.371235523304
2022-02-11 00:00:00+00:00,9162.359994474393
2022-02-12 00:00:00+00:00,9127.0420888265
2022-02-13 00:00:00+00:00,9116.897727664971
2022-02-14 00:00:00+00:00,9201.029252715667
2022-02-15 00:00:00+00:00,9630.604125891998
2022-02-16 00:00:00+00:00,9621.637051601538
2022-02-17 00:00:00+00:00,8868.410905516743
2022-02-18 00:00:00+00:00,8757.487949048998
2022-02-19 00:00:00+00:00,8777.43512703584
2022-02-20 00:00:00+00:00,8407.547517891513
2022-02-21 00:00:00+00:00,8110.877041621691
2022-02-22 00:00:00+00:00,8375.749278970667
2022-02-23 00:00:00+00:00,8159.287958979014
2022-02-24 00:00:00+00:00,8385.939926622672
2022-02-25 00:00:00+00:00,8377.802415458167
2022-02-26 00:00:00+00:00,8377.802415458167
2022-02-27 00:00:00+00:00,8377.802415458167
2022-02-28 00:00:00+00:00,8377.802415458167
2022-03-01 00:00:00+00:00,8377.802415458167
2022-03-02 00:00:00+00:00,8377.802415458167
2022-03-03 00:00:00+00:00,8088.684540152203
