,portfolio_value
2020-01-01 00:00:00+00:00,10000.0
2020-01-02 00:00:00+00:00,10000.0
2020-01-03 00:00:00+00:00,10000.0
2020-01-04 00:00:00+00:00,10000.0
2020-01-05 00:00:00+00:00,10000.0
2020-01-06 00:00:00+00:00,10000.0
2020-01-07 00:00:00+00:00,10497.956481040757
2020-01-08 00:00:00+00:00,10485.201611490847
2020-01-09 00:00:00+00:00,10485.201611490847
2020-01-10 00:00:00+00:00,10485.201611490847
2020-01-11 00:00:00+00:00,10485.201611490847
2020-01-12 00:00:00+00:00,10682.342467736516
2020-01-13 00:00:00+00:00,10619.3634718483
2020-01-14 00:00:00+00:00,11510.683264522037
2020-01-15 00:00:00+00:00,11483.621867797145
2020-01-16 00:00:00+00:00,11375.103782361015
2020-01-17 00:00:00+00:00,11642.735545999454
2020-01-18 00:00:00+00:00,11660.691162186999
2020-01-19 00:00:00+00:00,11352.231732296432
2020-01-20 00:00:00+00:00,11338.778017317283
2020-01-21 00:00:00+00:00,11338.778017317283
2020-01-22 00:00:00+00:00,11338.778017317283
2020-01-23 00:00:00+00:00,10969.718934799446
2020-01-24 00:00:00+00:00,10957.513085606612
2020-01-25 00:00:00+00:00,10957.513085606612
2020-01-26 00:00:00+00:00,10957.513085606612
2020-01-27 00:00:00+00:00,11344.46105294684
2020-01-28 00:00:00+00:00,11915.859793553782
2020-01-29 00:00:00+00:00,11902.520408691129
2020-01-30 00:00:00+00:00,12136.926011616706
2020-01-31 00:00:00+00:00,12123.92242523007
2020-02-01 00:00:00+00:00,12123.92242523007
2020-02-02 00:00:00+00:00,12053.166630324135
2020-02-03 00:00:00+00:00,11987.583985009058
2020-02-04 00:00:00+00:00,11974.720558299361
2020-02-05 00:00:00+00:00,11974.720558299361
2020-02-06 00:00:00+00:00,11974.720558299361
2020-02-07 00:00:00+00:00,11974.720558299361
2020-02-08 00:00:00+00:00,12050.757236746982
2020-02-09 00:00:00+00:00,12358.044399488352
2020-02-10 00:00:00+00:00,12040.364500319596
2020-02-11 00:00:00+00:00,12027.445831491885
2020-02-12 00:00:00+00:00,12161.061807181388
2020-02-13 00:00:00+00:00,12029.541662924008
2020-02-14 00:00:00+00:00,12144.646372622465
2020-02-15 00:00:00+00:00,11646.839952616454
2020-02-16 00:00:00+00:00,11699.847096411464
2020-02-17 00:00:00+00:00,11412.143977469916
2020-02-18 00:00:00+00:00,11944.294803473163
2020-02-19 00:00:00+00:00,11345.302232518226
2020-02-20 00:00:00+00:00,11329.178430983655
2020-02-21 00:00:00+00:00,11329.178430983655
2020-02-22 00:00:00+00:00,11329.178430983655
2020-02-23 00:00:00+00:00,11329.178430983655
2020-02-24 00:00:00+00:00,11329.178430983655
2020-02-25 00:00:00+00:00,11329.178430983655
2020-02-26 00:00:00+00:00,11329.178430983655
2020-02-27 00:00:00+00:00,11265.781787703498
2020-02-28 00:00:00+00:00,11122.095923768928
2020-02-29 00:00:00+00:00,11028.545064533862
2020-03-01 00:00:00+00:00,10981.023828034198
2020-03-02 00:00:00+00:00,11375.016508542118
2020-03-03 00:00:00+00:00,11270.003643286473
2020-03-04 00:00:00+00:00,11259.702031368191
2020-03-05 00:00:00+00:00,11259.702031368191
2020-03-06 00:00:00+00:00,11259.702031368191
2020-03-07 00:00:00+00:00,11259.702031368191
2020-03-08 00:00:00+00:00,11259.702031368191
2020-03-09 00:00:00+00:00,11259.702031368191
2020-03-10 00:00:00+00:00,11259.702031368191
2020-03-11 00:00:00+00:00,11259.702031368191
