,portfolio_value
2023-01-01 00:00:00+00:00,10000.0
2023-01-02 00:00:00+00:00,10000.0
2023-01-03 00:00:00+00:00,10000.0
2023-01-04 00:00:00+00:00,10099.62105625528
2023-01-05 00:00:00+00:00,10083.748678758797
2023-01-06 00:00:00+00:00,10152.762931829398
2023-01-07 00:00:00+00:00,10154.625178492704
2023-01-08 00:00:00+00:00,10236.117186059215
2023-01-09 00:00:00+00:00,10299.248751648807
2023-01-10 00:00:00+00:00,10448.820379695479
2023-01-11 00:00:00+00:00,10741.451621231894
2023-01-12 00:00:00+00:00,11301.25092254163
2023-01-13 00:00:00+00:00,11289.541836090566
2023-01-14 00:00:00+00:00,11289.541836090566
2023-01-15 00:00:00+00:00,11226.270656639064
2023-01-16 00:00:00+00:00,11381.558225381968
2023-01-17 00:00:00+00:00,11377.196232721837
2023-01-18 00:00:00+00:00,11123.035080231897
2023-01-19 00:00:00+00:00,11337.020537205088
2023-01-20 00:00:00+00:00,12191.73273259785
2023-01-21 00:00:00+00:00,12246.072828449818
2023-01-22 00:00:00+00:00,12215.315214822502
2023-01-23 00:00:00+00:00,12330.377734737383
2023-01-24 00:00:00+00:00,12170.182136698993
2023-01-25 00:00:00+00:00,12428.995101293984
2023-01-26 00:00:00+00:00,12383.251932237512
2023-01-27 00:00:00+00:00,12407.956939776
2023-01-28 00:00:00+00:00,12382.344671366458
2023-01-29 00:00:00+00:00,12782.064489855899
2023-01-30 00:00:00+00:00,12769.326484222092
2023-01-31 00:00:00+00:00,12769.326484222092
2023-02-01 00:00:00+00:00,12769.326484222092
2023-02-02 00:00:00+00:00,12622.675436792033
2023-02-03 00:00:00+00:00,12608.731693998308
2023-02-04 00:00:00+00:00,12608.731693998308
2023-02-05 00:00:00+00:00,12392.821781831277
2023-02-06 00:00:00+00:00,12287.248778901645
2023-02-07 00:00:00+00:00,12273.428894811448
2023-02-08 00:00:00+00:00,12090.379604950558
2023-02-09 00:00:00+00:00,11499.885910243565
2023-02-10 00:00:00+00:00,11411.416443989525
2023-02-11 00:00:00+00:00,11527.206424478542
2023-02-12 00:00:00+00:00,11483.633601323378
2023-02-13 00:00:00+00:00,11494.121219975448
2023-02-14 00:00:00+00:00,11711.639454335178
2023-02-15 00:00:00+00:00,12811.627798437215
2023-02-16 00:00:00+00:00,12450.92701072514
2023-02-17 00:00:00+00:00,12947.481989286212
2023-02-18 00:00:00+00:00,12987.367469487734
2023-02-19 00:00:00+00:00,12822.063946640463
2023-02-20 00:00:00+00:00,13086.386318932431
2023-02-21 00:00:00+00:00,12879.360850269653
2023-02-22 00:00:00+00:00,12748.908997729062
2023-02-23 00:00:00+00:00,12737.147333116109
2023-02-24 00:00:00+00:00,12737.147333116109
2023-02-25 00:00:00+00:00,12710.835726503221
2023-02-26 00:00:00+00:00,12922.453533973214
2023-02-27 00:00:00+00:00,12901.424476987639
2023-02-28 00:00:00+00:00,12695.466979084747
2023-03-01 00:00:00+00:00,12969.258209581727
2023-03-02 00:00:00+00:00,12956.545786311928
2023-03-03 00:00:00+00:00,12956.545786311928
2023-03-04 00:00:00+00:00,12956.545786311928
2023-03-05 00:00:00+00:00,12990.70393693604
2023-03-06 00:00:00+00:00,12978.466793331387
2023-03-07 00:00:00+00:00,12978.466793331387
2023-03-08 00:00:00+00:00,12978.466793331387
